boot,corpus,point,sha,run,ms,rc,proved,failed,trivial
1787401384,synth300,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,2,4242,0,1500,0,300
1787401384,synth300,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,3,4226,0,1500,0,300
1787401384,synth300,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,1,4258,0,1500,0,300
1787401384,synth300,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,2,4321,0,1500,0,300
1787401384,synth300,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,3,4314,0,1500,0,300
1787401384,synth300,p11,406e50d90eb704f98322f2a2ab6de211d988c676,1,4212,0,1500,0,300
1787401384,synth300,p11,406e50d90eb704f98322f2a2ab6de211d988c676,2,4188,0,1500,0,300
1787401384,synth300,p11,406e50d90eb704f98322f2a2ab6de211d988c676,3,4234,0,1500,0,300
1787401384,synth300,p12,26e4ff38647c6336f69f1df0772b495105d76abd,1,3062,0,1500,0,300
1787401384,synth300,p12,26e4ff38647c6336f69f1df0772b495105d76abd,2,3167,0,1500,0,300
1787401384,synth300,p12,26e4ff38647c6336f69f1df0772b495105d76abd,3,3153,0,1500,0,300
1787401384,synth300,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,1,3157,0,1500,0,300
1787401384,synth300,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,2,3066,0,1500,0,300
1787401384,synth300,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,3,3178,0,1500,0,300
1787401384,synth300,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,1,3249,0,1500,0,300
1787401384,synth300,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,2,3198,0,1500,0,300
1787401384,synth300,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,3,3185,0,1500,0,300
1787401384,synth300,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,1,3169,0,1500,0,300
1787401384,synth300,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,2,3130,0,1500,0,300
1787401384,synth300,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,3,3049,0,1500,0,300
1787401384,synth300,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,1,3096,0,1500,0,300
1787401384,synth300,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,2,3096,0,1500,0,300
1787401384,synth300,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,3,3090,0,1500,0,300
1787401384,synth300,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,1,3236,0,1500,0,300
1787401384,synth300,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,2,3083,0,1500,0,300
1787401384,synth300,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,3,3171,0,1500,0,300
1787401384,chain,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,1,900222,124,490,0,1398
1787401384,chain,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,1,900571,124,492,0,1403
1787401384,chain,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,1,900221,124,521,0,1490
1787401384,chain,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,1,151630,0,975,0,2799
1787401384,chain,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,2,152435,0,975,0,2799
