boot,corpus,point,sha,kind,idx,seconds,n
1787475254,ffi,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,open,0,5.52,10
1787475254,ffi,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,1,5.45,10
1787475254,ffi,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,2,5.73,10
1787475254,ffi,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,3,5.44,10
1787475254,ffi,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,4,5.49,10
1787475254,ffi,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,5,5.19,10
1787475254,ffi,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,6,5.36,10
1787475254,ffi,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,7,5.40,10
1787475254,ffi,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,8,5.43,10
1787475254,ffi,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,9,5.55,10
1787475254,ffi,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,10,5.18,10
1787475254,ffi,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,open,0,4.78,10
1787475254,ffi,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,1,4.73,10
1787475254,ffi,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,2,4.83,10
1787475254,ffi,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,3,4.51,10
1787475254,ffi,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,4,4.46,10
1787475254,ffi,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,5,4.60,10
1787475254,ffi,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,6,4.66,10
1787475254,ffi,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,7,4.70,10
1787475254,ffi,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,8,4.82,10
1787475254,ffi,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,9,4.88,10
1787475254,ffi,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,10,5.00,10
1787475254,tiny,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,open,0,0.0037,3
1787475254,tiny,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,edit,1,0.0022,3
1787475254,tiny,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,edit,2,0.0033,3
1787475254,tiny,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,edit,3,0.0032,3
1787475254,tiny,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,open,0,0.0038,3
1787475254,tiny,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,edit,1,0.0023,3
1787475254,tiny,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,edit,2,0.0033,3
1787475254,tiny,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,edit,3,0.0028,3
1787475254,tiny,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,open,0,0.0035,3
1787475254,tiny,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,edit,1,0.0020,3
1787475254,tiny,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,edit,2,0.0032,3
1787475254,tiny,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,edit,3,0.0030,3
1787475254,tiny,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,open,0,0.0049,3
1787475254,tiny,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,edit,1,0.0029,3
1787475254,tiny,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,edit,2,0.0037,3
1787475254,tiny,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,edit,3,0.0021,3
1787475254,tiny,p04,64f03fce29369b2878614fb136c38ae2fac4265c,open,0,0.0044,3
1787475254,tiny,p04,64f03fce29369b2878614fb136c38ae2fac4265c,edit,1,0.0022,3
1787475254,tiny,p04,64f03fce29369b2878614fb136c38ae2fac4265c,edit,2,0.0039,3
1787475254,tiny,p04,64f03fce29369b2878614fb136c38ae2fac4265c,edit,3,0.0031,3
1787475254,tiny,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,open,0,0.0036,3
1787475254,tiny,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,edit,1,0.0028,3
1787475254,tiny,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,edit,2,0.0040,3
1787475254,tiny,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,edit,3,0.0028,3
1787475254,tiny,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,open,0,0.0044,3
1787475254,tiny,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,edit,1,0.0023,3
1787475254,tiny,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,edit,2,0.0031,3
1787475254,tiny,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,edit,3,0.0023,3
1787475254,tiny,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,open,0,0.0045,3
1787475254,tiny,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,edit,1,0.0023,3
1787475254,tiny,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,edit,2,0.0033,3
1787475254,tiny,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,edit,3,0.0023,3
